Region_Code,Region_Name,Station_Name,Station_Local_Name,Display_Name,EPW_File,Latitude,Longitude,Altitude,HDD_base20,CDD_base26,HDD_degree_hours,CDD_degree_hours
PM,Piedmont,Casale,Casale.Monferrato,ITA_PM_Casale.Piedmont,ITA_PM_Casale.Monferrato.160680_TMYx.2011-2025.epw,45.1128,8.4536,121.0,2736.2000000000003,97.18749999999999,65668.8,2332.4999999999995
PM,Piedmont,Cuneo-Levaldigi,Cuneo-Levaldigi.AP,ITA_PM_Cuneo-Levaldigi.Piedmont,ITA_PM_Cuneo-Levaldigi.AP.161170_TMYx.2011-2025.epw,44.5531,7.625,387.0,2963.408333333333,55.645833333333336,71121.79999999999,1335.5
PM,Piedmont,Mondovi,Mondovi,ITA_PM_Mondovi.Piedmont,ITA_PM_Mondovi.161140_TMYx.2011-2025.epw,44.3903,7.8292,560.0,3212.4625,24.79583333333333,77099.1,595.0999999999999
PM,Piedmont,Torino,Torino.Venaria,ITA_PM_Torino.Piedmont,ITA_PM_Torino.Venaria.160600_TMYx.2011-2025.epw,45.1306,7.6175,278.0,3142.8041666666663,46.65,75427.29999999999,1119.6
PM,Piedmont,Torino-Bric,Torino-Bric.della.Croce,ITA_PM_Torino-Bric.Piedmont,ITA_PM_Torino-Bric.della.Croce.160610_TMYx.2011-2025.epw,45.0333,7.7317,710.0,2838.9833333333336,15.558333333333332,68135.6,373.4
PM,Piedmont,Torino-Caselle,Torino-Caselle.AP,ITA_PM_Torino-Caselle.Piedmont,ITA_PM_Torino-Caselle.AP.160590_TMYx.2011-2025.epw,45.2025,7.6494,287.0,2808.441666666667,75.58333333333333,67402.6,1814.0
PU,Apulia,Amendola,Amendola.AP,ITA_PU_Amendola.Apulia,ITA_PU_Amendola.AP.162610_TMYx.2011-2025.epw,41.5381,15.7139,60.0,1831.3791666666666,219.70833333333334,43953.1,5273.0
PU,Apulia,Bari,Bari,ITA_PU_Bari.Apulia,ITA_PU_Bari.162710_TMYx.2011-2025.epw,41.1205,16.8836,12.0,1447.1166666666668,141.75,34730.8,3402.0
PU,Apulia,Bari-Wojtyla,Bari-Wojtyla.Intl.AP,ITA_PU_Bari-Wojtyla.Apulia,ITA_PU_Bari-Wojtyla.Intl.AP.162700_TMYx.2011-2025.epw,41.1381,16.765,49.0,1678.8166666666668,132.42499999999998,40291.600000000006,3178.2
PU,Apulia,Foggia,Foggia.AP,ITA_PU_Foggia.Apulia,ITA_PU_Foggia.AP.162600_TMYx.2011-2025.epw,41.433,15.533,81.0,1871.3791666666668,238.95833333333334,44913.100000000006,5735.0
PU,Apulia,Ginosa,Ginosa.Marina,ITA_PU_Ginosa.Apulia,ITA_PU_Ginosa.Marina.163250_TMYx.2011-2025.epw,40.4244,16.8867,11.5,1505.1541666666665,244.9666666666667,36123.7,5879.200000000001
PU,Apulia,Lecce-Galatina,Lecce-Galatina.AB,ITA_PU_Lecce-Galatina.Apulia,ITA_PU_Lecce-Galatina.AB.163320_TMYx.2011-2025.epw,40.2383,18.1389,53.0,1531.7291666666667,216.45000000000002,36761.5,5194.8
